1901,Kansas Saloon Smashers,seltzer
1901,Love by the Light of the Moon,moon
1901,The Martyred Presidents,justice
1901,"Terrible Teddy, the Grizzly King",house
1952,Jack and the Beanstalk,dinklepuss
2010,Alice in Wonderland,rabbit
1903,The Great Train Robbery,operator
1904,The Suburbanite,life
1905,The Little Train Robbery,member
1941,The Night Before Christmas,christmas
1906,Dream of a Rarebit Fiend,dream
1906,From Leadville to Aspen: A Hold-Up in the Rockies,horse
1906,Kathleen Mavourneen,village
1907,Daniel Boone,boone daughter
1907,How Brown Saw the Baseball Game,baseball game
1914,Laughing Gas,fight
1908,The Adventures of Dollie,summer
1908,The Black Viper,rescuer
1908,A Calamitous Elopement,romantic moment
1935,The Call of the Wild,head
2009,A Christmas Carol,scrooge
1908,The Fight for Freedom,border
1909,At the Altar,admirer
1909,A Drunkard's Reformation,family
1909,The Golden Louis,woman
1909,The Lure of the Gown,world
1910,An Arcadian Maid,finds work
1931,Frankenstein,creature
1910,"Hemlock Hoax, the Detective",hoax
1910,A Lad from Old Ireland,desperate poverty
1995,Pocahontas,ratcliffe
1936,Ramona,half girl
1910,The Wonderful Wizard of Oz,witch
1911,Baseball and Bloomers,girl
1911,The Black Arrow: A Tale of the Two Roses,sir
1926,Brown of Harvard,brown
1911,For Her Sake,suitor
1911,David Copperfield,copperfield
1911,The Pasha's Daughter,murana
1911,Sweet Memories,woman
1971,The Deserter,expert
1941,Dr. Jekyll and Mr. Hyde,jekyll
1912,The Land Beyond the Sunset,air
1912,The Musketeers of Pig Alley,husband
1912,The New York Hat,minister
1912,Put Yourself in His Place,story
1912,An Unseen Enemy,household
1913,Atlantis,kammacher
1913,Barney Oldfield's Race for a Life,villain
1913,Bob's Baby,time
1913,Cohen Saves the Flag,cohen
1913,The Evidence of the Film,film
1913,The Quakeress,law
1913,The Restless Spirit,dreamer
1913,The Telephone Girl and the Lady,thief
1914,The Avenging Conscience,man
1928,The Battle of the Sexes,family
1914,Between Showers,woman
1985,Brewster's Millions,hotel
1914,A Busy Day,officer
1914,The Call of the North,traverse
1914,Captain Alvarez,role
1914,Caught in a Cabaret,boyfriend
1914,Caught in the Rain,man
2015,Cinderella,lady
1914,"Cruel, Cruel Love",helpus
1914,Dough and Dynamite,carelessness
1914,The Escape,senator
1914,A Film Johnnie,stage door
1914,A Florida Enchantment,motion
1914,Gentlemen of Nerve,gets stuck
1914,Getting Acquainted,policeman
1914,His Father's Rifle,party
1914,"His Majesty, the Scarecrow of Oz",mombi
1914,Charlie Chaplin,wife
1914,"Home, Sweet Home",despair
1914,Imar the Servitor,american tourist
1914,In the Land of the Head Hunters,carnegie
1914,The Knockout,cyclone
1914,Mabel at the Wheel,race
1914,Mabel's Blunder,young woman
1914,Mabel's Married Life,man
1914,Mabel's Strange Predicament,drunk tramp
1914,Making a Living,chaplin character
1914,The Masquerader,director
1949,Neptune's Daughter,polo team
1914,The New Janitor,manager
1947,The Perils of Pauline,factory
1914,The Property Man,man
1914,Recreation,fight
1914,Rose of the Rancho,rancho
1965,The Rounders,horse
1914,Salomy Jane,salomy
1914,Should a Woman Divorce?,vice
1914,Sweet and Low,daughter
1914,Those Love Pangs,chaplin
1914,Tillie's Punctured Romance,city man
1914,The Wrath of the Gods,toya
1915,After Five,insurance
1997,Anna Karenina,karenin
1915,Birth of a Nation,stoneman
1915,The Bluffers,ongoing struggle
1915,The Captive,brother
1915,Carmen,gypsy girl
1915,The Champion,bulldog
1931,The Cheat,raise money
1915,Chimmie Fadden Out West,company
1915,Enoch Arden,magazine
1915,A Fool There Was,woman
1915,Four Feathers,british army officer
1915,Giving Them Fits,shoe
1931,Inspiration,diplomacy
1915,The Italian,beppo
1915,Pool Sharks,bowl
2012,The Raven,poe
1915,The Soul of Broadway,term
1915,The Toast of Death,wife
1915,The Tramp,chaplin
1915,The Warrens of Virginia,war
1915,Work,boss
1954,"20,000 Leagues Under the Sea",aronnax
1916,The Abandonment,work
1916,The Aryan,denton
1916,Civilization,count
1916,A Daughter of the Gods,mysterious beauty
1916,Divorce and the Daughter,family
1916,Fatty and Mabel Adrift,adrift
1916,The Fireman,chaplin
1916,Hell's Hinges,blaze
1916,Hoodoo Ann,girl
1916,Hulda from Holland,railroad president
1916,Joan the Woman,officer
1928,Lights of New York,hawk
1966,Madame X,playboy
1916,The Man Who Would Not Die,insurance
1916,Manhattan Madness,bane
1916,One A.M.,cuckoo
2016,The Other Side of the Door,monterrey
2009,Sherlock Holmes,blackwood
1916,The Soul's Cycle,street
1916,The Stepping Stone,beresford
1916,Under Two Flags,legion
1916,Where Are My Children?,mrs
1916,Youth's Endearing Charm,court case
1917,All Aboard,stowed away
1917,Bucking Broadway,cheyenne
1997,The Butcher Boy,francie
1936,Camille,film
1917,Cheyenne's Pal,officer
1963,Cleopatra,ptolemy
1917,The Devil-Stone,magazine
1917,Easy Street,tramp
1917,Enlighten Thy Daughter,sex
1917,Golden Rule Kate,partner
1998,Great Expectations,lustig
1917,The Gulf Between,captain
1917,Her Right to Live,man
1917,His Wedding Night,boy
1917,The Immigrant,tramp
1917,"In Again, Out Again",bomber
1917,The Jury of Fate,taliaferro
1917,The Little American,soldier
1939,The Little Princess,miss
1917,The Man Without a Country,danforth
1917,The Mate of the Sally Ann,man
1917,A Modern Musketeer,vandeteer
1917,Oh Doctor!,holepoke
1917,"Peggy, the Will O' the Wisp",sack
1917,The Poor Little Rich Girl,world
1930,Reaching for the Moon,potion
1938,Rebecca of Sunnybrook Farm,kipper
1917,A Reckless Romeo,husband public flirtation
1917,The Rough House,policeman
1917,Souls in Pawn,magazine
1917,Straight Shooting,ranchers try
1917,A Strange Transgressor,hampton
1917,The Woman God Forgot,alvarado
1918,All Woman,half
1918,Amarilly of Clothes-Line Alley,mrs
1918,Are Crooks Dishonest?,miss
1940,Arizona,freight
1918,Beauty and the Rogue,work
1918,"Believe Me, Xantippe",magazine
1918,The Bell Boy,hotel
1940,The Blue Bird,mytyl
1918,Bound in Morocco,ride
1918,The Bride's Awakening,magazine
1918,Cecilia of the Pink Roses,magazine
1918,The Cook,keaton
1918,The Craving,man
1918,The Deciding Kiss,little girl
1918,The Eyes of Julia Deep,stock
1918,The Eyes of Mystery,carmichael
1918,Face Value,magazine
1918,The Forbidden City,talmadge
1918,Friend Husband,student
1918,Fuss and Feathers,family
1918,The Ghost of Slumber Mountain,telescope
1918,The Goddess of Lost Lake,gold
1918,The Great Love,sir
1918,The Greatest Thing in Life,soldier
1918,He Comes Up Smiling,bank
1918,Headin' South,headin
1918,The Heart of Humanity,girl
1918,Hearts of the World,officer
1918,Hell Bent,brother
2000,The House of Mirth,room
1918,Huck and Tom,potter
1918,The Legion of Death,magazine
1918,Men Who Have Made Love to Me,maclane
1948,Mickey,father
1918,Moonshine,bootlegger
1918,Mr. Fix-It,aristocratic home
1919,Nine-Tenths of the Law,trap
1918,Old Wives for New,wife
1918,Out of the Inkwell,series
1918,Out West,hickup
1918,Powers That Prey,mcvey
1990,Revenge,tibey
1918,The Romance of Tarzan,expedition
1918,Salomé,herod
1918,The Scarlet Drop,war
1918,Set Free,roma
1918,Shoulder Arms,boot camp
1918,Social Briars,country
1918,Stella Maris,unity
1918,Tarzan of the Apes,binns
1918,Till I Come Back to You,finds little
1990,Treasure Island,silver
1918,Under the Yoke,ramirez
1918,Under the Greenwood Tree,hutton
1918,The Venus Model,braddock
1918,We Can't Have Everything,kedzie
1918,When Do We Eat?,hennessy
1918,Which Woman?,automobile
1918,The Whispering Chorus,concern
1934,Anne of Green Gables,marilla
1919,Ask Father,boss
1919,Back Stage,strongman
1919,Better Times,ball
1919,Blind Husbands,doctor
1919,Bolshevism on Trial,flag
1919,Broken Blossoms,cheng
1919,Bumping Into Broadway,girl
1919,Daddy-Long-Legs,family
1919,Dangerous Hours,revolutionary
1919,A Day's Pleasure,scene
1919,The Delicious Little Devil,york
1919,Don't Change Your Husband,appearance gets cigar
1919,The Echo of Youth,abramson
1919,The Exquisite Thief,chesterton
1919,The False Faces,intelligence
1919,"For Better, For Worse",duty
1919,From Hand to Mouth,lawyer
1919,The Girl Who Stayed at Home,war
1919,The Grim Game,film
1919,A Gun Fightin' Gentleman,merritt
1919,Happy Though Married,montjoy
1919,The Haunted Bedroom,man
1919,Hawthorne of the U.S.A.,hawthorne
1919,Heart o' the Hills,hawn
1919,"His Majesty, the American",country
1919,The Homesteader,baptiste
1919,The Law of Men,poison
1919,Love's Prisoner,repair
1919,Male and Female,crichton
1919,A Man's Fight,miner
1932,The Miracle Man,doc
1919,The Miracle of Love,cheshire
1919,My Lady's Garter,gaunt
1919,Pistols for Breakfast,man
1919,The Probation Wife,mcmerton
1919,Ravished Armenia,york
1919,The Roaring Road,race
1919,A Rogue's Romance,market
